date_utc,fng_value,fng_class,fng_sma_7,fng_sma_30,fng_z180
2022-09-10 00:00:00+00:00,28.0,Fear,22.714285714285715,29.1,0.3079071673257027
2022-09-11 00:00:00+00:00,26.0,Fear,23.571428571428573,28.566666666666666,0.13918103808318702
2022-09-12 00:00:00+00:00,25.0,Extreme Fear,23.857142857142858,27.866666666666667,0.05548709520230651
2022-09-13 00:00:00+00:00,34.0,Fear,25.571428571428573,27.433333333333334,0.8000023920548743
2022-09-14 00:00:00+00:00,27.0,Fear,26.0,26.833333333333332,0.21740002431820524
2022-09-15 00:00:00+00:00,28.0,Fear,27.142857142857142,26.3,0.30048283615955756
2022-09-16 00:00:00+00:00,20.0,Extreme Fear,26.857142857142858,25.6,-0.3592762853147657
2022-09-17 00:00:00+00:00,22.0,Extreme Fear,26.0,25.333333333333332,-0.18943475119916742
2022-09-18 00:00:00+00:00,27.0,Fear,26.142857142857142,25.133333333333333,0.22591632724081553
2022-09-19 00:00:00+00:00,21.0,Extreme Fear,25.571428571428573,24.866666666666667,-0.26860008981173966
2022-09-20 00:00:00+00:00,23.0,Extreme Fear,24.0,24.733333333333334,-0.09476525895777657
2022-09-21 00:00:00+00:00,23.0,Extreme Fear,23.428571428571427,24.533333333333335,-0.08448190755541811
2022-09-22 00:00:00+00:00,22.0,Extreme Fear,22.571428571428573,24.333333333333332,-0.15765016961900238
2022-09-23 00:00:00+00:00,20.0,Extreme Fear,22.571428571428573,24.166666666666668,-0.31938902586130685
2022-09-24 00:00:00+00:00,24.0,Extreme Fear,22.857142857142858,24.133333333333333,0.04666656854984287
2022-09-25 00:00:00+00:00,24.0,Extreme Fear,22.428571428571427,24.033333333333335,0.06408249253414004
2022-09-26 00:00:00+00:00,21.0,Extreme Fear,22.428571428571427,23.8,-0.1979564079990334
2022-09-27 00:00:00+00:00,20.0,Extreme Fear,22.0,23.533333333333335,-0.28081070575249534
2022-09-28 00:00:00+00:00,20.0,Extreme Fear,21.571428571428573,23.4,-0.2699119198068758
2022-09-29 00:00:00+00:00,22.0,Extreme Fear,21.571428571428573,23.233333333333334,-0.059911529394939954
2022-09-30 00:00:00+00:00,21.0,Extreme Fear,21.714285714285715,23.166666666666668,-0.14745106164728927
2022-10-01 00:00:00+00:00,20.0,Extreme Fear,21.142857142857142,23.166666666666668,-0.23708416034040725
2022-10-02 00:00:00+00:00,24.0,Extreme Fear,21.142857142857142,23.133333333333333,0.20297874435705407
2022-10-03 00:00:00+00:00,24.0,Extreme Fear,21.571428571428573,23.233333333333334,0.22213199831379013
2022-10-04 00:00:00+00:00,20.0,Extreme Fear,21.571428571428573,23.233333333333334,-0.20970484917280463
2022-10-05 00:00:00+00:00,25.0,Extreme Fear,22.285714285714285,23.3,0.35212970438151464
2022-10-06 00:00:00+00:00,26.0,Fear,22.857142857142858,23.433333333333334,0.46659237737042936
2022-10-07 00:00:00+00:00,23.0,Extreme Fear,23.142857142857142,23.4,0.1399499752694275
2022-10-08 00:00:00+00:00,24.0,Extreme Fear,23.714285714285715,23.533333333333335,0.2577883327832782
2022-10-09 00:00:00+00:00,22.0,Extreme Fear,23.428571428571427,23.533333333333335,0.03183660160137562
2022-10-10 00:00:00+00:00,22.0,Extreme Fear,23.142857142857142,23.333333333333332,0.033722059149781644
2022-10-11 00:00:00+00:00,24.0,Extreme Fear,23.714285714285715,23.266666666666666,0.26135027156616925
2022-10-12 00:00:00+00:00,20.0,Extreme Fear,23.0,23.1,-0.1875542227305005
2022-10-13 00:00:00+00:00,20.0,Extreme Fear,22.142857142857142,22.633333333333333,-0.18279528150306018
2022-10-14 00:00:00+00:00,24.0,Extreme Fear,22.285714285714285,22.533333333333335,0.2707723798095651
2022-10-15 00:00:00+00:00,24.0,Extreme Fear,22.285714285714285,22.4,0.2707723798095651
2022-10-16 00:00:00+00:00,24.0,Extreme Fear,22.571428571428573,22.533333333333335,0.272879091737138
2022-10-17 00:00:00+00:00,20.0,Extreme Fear,22.285714285714285,22.466666666666665,-0.1745593496535777
2022-10-18 00:00:00+00:00,22.0,Extreme Fear,22.0,22.3,0.05468593829762727
2022-10-19 00:00:00+00:00,23.0,Extreme Fear,22.428571428571427,22.366666666666667,0.16982341256378988
2022-10-20 00:00:00+00:00,23.0,Extreme Fear,22.857142857142858,22.366666666666667,0.1704767028637581
2022-10-21 00:00:00+00:00,23.0,Extreme Fear,22.714285714285715,22.366666666666667,0.17113025079424707
2022-10-22 00:00:00+00:00,20.0,Extreme Fear,22.142857142857142,22.3,-0.16672685642299548
2022-10-23 00:00:00+00:00,23.0,Extreme Fear,22.0,22.4,0.1757123806096863
2022-10-24 00:00:00+00:00,22.0,Extreme Fear,22.285714285714285,22.333333333333332,0.061719552847673644
2022-10-25 00:00:00+00:00,20.0,Extreme Fear,22.0,22.2,-0.1625119550990701
2022-10-26 00:00:00+00:00,33.0,Fear,23.428571428571427,22.6,1.2990822848309003
