ds,y,btc_volume_log1p,spx_close,hr_hash_rate,fg_fng_value,gt_bitcoin,btc_eth_ratio,fg_fng_value_ma30,gt_bitcoin_ma30,hr_hash_rate_ma30,fg_fng_value_z91d,gt_bitcoin_z91d,hr_hash_rate_z91d,fg_fng_value_z91d_l1,fg_fng_value_z91d_l3,fg_fng_value_z91d_l7,fg_fng_value_z91d_l14,gt_bitcoin_z91d_l28,gt_bitcoin_z91d_l35,gt_bitcoin_z91d_l42,gt_bitcoin_z91d_l49,gt_bitcoin_z91d_l56,hr_hash_rate_z91d_l14,hr_hash_rate_z91d_l28,m2_ma30,m2_lag30,rsi_14,sma_50,sma_200,macd_12_26,macd_signal_9,macd_hist,sma_ratio_50_200
2021-04-23,51093.65234375,25.185358263500465,4180.169921875,158255998.5553371,55.0,54.0,21.617004169606627,71.66666666666667,30.6408,156772123.90818742,-1.978211092617772,1.9637908390362375,0.10901259658326,-0.9766599651710416,-0.266088398818485,0.1701129925530422,-0.6172814401419449,-0.821679109761894,-0.7849970384786367,-0.3164397907873453,-0.3926933343075205,0.7393332369089809,1.5584082864580988,-0.4693369895687522,20174.696666666663,19850.3,33.44202523392187,56995.805,34586.20014160156,-895.8258160039259,370.03420710344585,-1265.8600231073717,1.6479348632301278
2021-04-24,50050.8671875,24.615381903190883,4180.169921875,158255998.5553371,37.0,39.0,22.630803419297813,70.9,30.8164,156540147.07763234,-3.400992974341015,0.4707036144744958,0.1100306092876751,-1.978211092617772,-0.2610218122453702,-0.0040141224407182,-0.6005023827944905,-1.065839474920688,-0.791829859173253,0.3126225894437081,-0.5562166993026373,0.0723991997268086,1.5312356711831998,-0.5036235971075904,20189.29666666667,19850.3,31.620199863910273,57018.27625,34783.432446289065,-1320.7455577154979,31.878254139657106,-1352.623811855155,1.63923662042396
2021-04-25,49004.25390625,24.554449959726156,4180.169921875,165289598.49112985,31.0,33.0,21.158460056205715,70.13333333333334,30.983400000000003,157122326.39747033,-3.6056791385265057,-0.1332574075234434,0.5258489353415936,-3.400992974341015,-0.9766599651710416,0.269949734138305,-0.0540522332982261,-1.1686529187886745,-0.8581523401923212,0.1838899297444674,-0.4746974754341395,0.2926175651140381,0.8337095537321412,1.7468456441969369,20197.993333333332,20027.4,29.861843586940722,57020.113671875,34975.10887207031,-1722.0991720027305,-318.9172310888204,-1403.18194091391,1.6303055375878737
2021-04-26,54021.75390625,24.7885941334071,4187.6201171875,165289598.49112985,27.0,34.0,21.314714614452978,68.86666666666666,31.279400000000003,157704505.7173083,-3.599821016420407,-0.0420980153201836,0.5131020561396643,-3.6056791385265057,-1.978211092617772,-0.1816792970791972,-0.2188861361154528,-0.7974800594635836,-0.8059097958212298,-0.2892828970711417,-0.4418632925351796,0.1393494192361301,0.8220877387765201,1.6967026883195966,20206.69,20027.4,45.50668923892953,57076.414921875,35190.63921386719,-1616.668537361642,-578.4674923433847,-1038.2010450182572,1.6219203798771444
2021-04-27,55033.1171875,24.624191954187268,4186.72021484375,166461865.14709532,50.0,33.0,20.666880350186705,68.06666666666666,31.58993333333333,157492437.78974515,-1.8084590197756485,-0.150312201395936,0.5695173649855962,-3.599821016420407,-3.400992974341015,-0.266088398818485,-0.2094734732576189,-0.7404321161268563,-0.8183756239593573,-0.487049433907203,-0.1031966406086954,0.0810230545154131,0.5200360375805188,0.4026439407040362,20215.386666666665,20027.4,48.023377790739524,57132.146796875,35410.48250976563,-1434.9640628580892,-749.7668064463256,-685.1972564117635,1.6134246908699674
2021-04-28,54824.703125,24.594478784366395,4183.18017578125,166461865.14709532,59.0,29.0,19.962532712404727,67.63333333333334,31.6236,157280369.86218205,-1.11660580665305,-0.5524443570648334,0.5568605717238665,-1.8084590197756485,-3.6056791385265057,-0.2610218122453702,-0.1161597196602705,-0.884235806585062,-0.5961273157061074,-0.5558683041070891,-0.2240480406494659,-0.1242212999324909,0.5121693008339083,0.4030361995315424,20224.083333333332,20027.4,47.536169152803204,57132.158515625,35628.12421875,-1292.8757637415401,-858.3885979053686,-434.4871658361716,1.603569083930556
2021-04-29,53555.109375,24.553838623209625,4211.47021484375,143016532.0277861,52.0,27.0,19.42600641435728,66.96666666666667,31.566666666666663,156757799.37124193,-1.6250800346787115,-0.7512380076189431,-0.8408420037650891,-1.11660580665305,-3.599821016420407,-0.9766599651710416,0.2496218972643824,-0.6288680788191366,-0.3146044530424309,-0.4894763461577801,-0.2964555797441203,-0.3791206112399966,3.2693979971981504,0.3057751851745872,20232.78,20027.4,44.56979868710603,57083.0896875,35838.97885742188,-1268.097529234372,-940.3303841711693,-327.76714506320263,1.5927655169694852
2021-04-30,57750.17578125,24.682094791404783,4181.169921875,143016532.0277861,51.0,27.0,20.82432906396447,66.13333333333334,31.566666666666663,156235228.88030183,-1.6524094763357513,-0.7341038457807079,-0.8282728364405245,-1.6250800346787115,-1.8084590197756485,-1.978211092617772,0.1701129925530422,-0.9673032126350608,-0.821679109761894,-0.7849970384786367,-0.3164397907873453,-0.3926933343075205,3.0614023621966853,0.2894416649734953,20236.38,20027.4,54.64179988733167,57081.99078125,36069.952919921874,-899.5839566377617,-932.1810986644878,32.59714202672603,1.5825357717537503
2021-05-01,57828.05078125,24.48065468411377,4181.169921875,158954589.9843886,68.0,25.0,19.630059296174817,65.93333333333334,31.4,156280158.4141151,-0.4137620715104655,-0.9245112615544784,0.1182440169575597,-1.6524094763357513,-1.11660580665305,-3.400992974341015,-0.0040141224407182,-1.0300092436598598,-1.065839474920688,-0.791829859173253,0.3126225894437081,-0.5562166993026373,-3.5886998917307382,-0.3668919310774945,20239.979999999996,20027.4,54.805970071339395,57091.91,36301.96367675781,-594.3985768924103,-864.6245943100723,270.226017417662,1.5726948136569503
2021-05-02,56631.078125,24.36550969421287,4181.169921875,158954589.9843886,66.0,23.0,19.183604647912414,65.66666666666667,31.3,156325087.94792837,-0.5484058123013985,-1.117833865455176,0.1119100074447436,-0.4137620715104655,-1.6250800346787115,-3.6056791385265057,0.269949734138305,-1.0104944145765962,-1.1686529187886745,-0.8581523401923212,0.1838899297444674,-0.4746974754341395,-3.375401527428273,-0.372615688317066,20241.116666666665,20101.3,51.70806832546278,56999.66984375,36527.97153320313,-444.004447654399,-780.5005649789377,336.4961173245388,1.5604389581813638
