ds,y,sma_50,sma_200,spx_close,hr_hash_rate_ma30,m2_ma30,fg_fng_value_ma30,gt_bitcoin_ma30,fg_fng_value,macd_signal_9
2023-10-22,29993.896484375,27051.8417578125,28049.174150390623,4224.16015625,421964529.514185,20648.853333333336,48.7,9.748466666666667,53.0,409.0385960191111
2023-10-23,33086.234375,27194.1751171875,28074.384619140623,4217.0400390625,425227562.8890292,20650.243333333336,48.9,9.935333333333334,53.0,522.3564326265874
2023-10-24,33901.52734375,27355.95734375,28104.262958984375,4247.68017578125,424151111.3903834,20651.633333333335,49.63333333333333,10.4715,66.0,671.6704777229123
2023-10-25,34502.8203125,27530.4141015625,28137.0380859375,4186.77001953125,423074659.8917376,20653.023333333334,50.46666666666667,10.772066666666666,72.0,843.7813652140976
2023-10-26,34156.6484375,27698.48234375,28166.15607421875,4137.22998046875,425371771.11999726,20654.413333333338,51.3,10.9914,71.0,1013.7124162518928
2023-10-27,33909.80078125,27851.874453125,28187.44017578125,4117.3701171875,427668882.34825695,20650.463333333333,52.166666666666664,11.1376,70.0,1167.1203557032416
2023-10-28,34089.57421875,28015.5528515625,28206.71275390625,4117.3701171875,430030796.06095016,20646.513333333332,52.8,11.235066666666668,65.0,1302.3381080620386
2023-10-29,34538.48046875,28188.40890625,28228.709892578125,4117.3701171875,432392709.77364343,20646.07,53.6,11.308166666666668,72.0,1423.26001059117
2023-10-30,34502.36328125,28361.811640625,28249.226376953124,4166.81982421875,435415933.9528644,20645.626666666667,54.3,11.4544,68.0,1525.0624993666383
2023-10-31,34667.78125,28551.9141796875,28270.136787109375,4193.7998046875,438439158.13208544,20645.183333333334,54.9,11.56,66.0,1608.707876478951
2023-11-01,35437.25390625,28743.9923828125,28295.73057617187,4237.85986328125,439001277.69121987,20644.74,55.43333333333333,11.592466666666668,66.0,1685.1978150415662
2023-11-02,34938.2421875,28918.1907421875,28318.845009765624,4317.77978515625,439563397.25035423,20644.29666666667,56.166666666666664,11.763066666666669,72.0,1741.3907871440135
2023-11-03,34732.32421875,29082.04375,28345.28140625,4358.33984375,441197066.5516549,20643.74,56.7,11.901166666666663,65.0,1774.66200265775
2023-11-04,35082.1953125,29251.5137890625,28368.704619140623,4358.33984375,442830735.8529555,20643.183333333334,57.36666666666667,11.974266666666669,68.0,1793.3593483934385
2023-11-05,35049.35546875,29421.1352734375,28399.83799804687,4358.33984375,444504488.1956249,20639.413333333338,58.03333333333333,12.063633333333334,70.0,1797.330559894306
2023-11-06,35037.37109375,29591.1989453125,28433.794912109373,4365.97998046875,446178240.5382942,20635.643333333333,58.86666666666667,12.185466666666668,74.0,1787.5758546681302
2023-11-07,35443.5625,29764.9845703125,28474.628173828125,4378.3798828125,445886703.9142689,20631.873333333333,59.46666666666667,12.274833333333332,68.0,1772.1356682096975
2023-11-08,35655.27734375,29933.8677734375,28513.817060546877,4382.77978515625,445595167.2902437,20628.103333333333,60.0,12.3642,66.0,1753.2800633756824
2023-11-09,36693.125,30125.0901171875,28559.32576171875,4347.35009765625,445008904.4452321,20624.33333333333,60.63333333333333,12.624133333333337,69.0,1745.8343557229127
2023-11-10,37313.96875,30340.0168359375,28608.26890625,4415.240234375,444422641.60022056,20624.396666666667,61.4,12.843466666666668,70.0,1751.8565566630396
2023-11-11,37138.05078125,30551.186484375,28652.421171875,4415.240234375,445310975.0694254,20624.460000000003,62.233333333333334,12.981566666666664,70.0,1759.204984163875
2023-11-12,37054.51953125,30760.6890625,28695.580263671876,4415.240234375,446199308.53863025,20624.54666666667,63.2,13.103433333333331,73.0,1761.657171750206
2023-11-13,36502.35546875,30965.5996484375,28730.72310546875,4411.5498046875,445299832.56485134,20624.633333333335,64.03333333333333,13.249633333333332,72.0,1748.0873151195012
2023-11-14,35537.640625,31150.3828515625,28761.71,4495.7001953125,444400356.5910725,20624.72,64.83333333333333,13.4202,69.0,1705.8107993923916
2023-11-15,37880.58203125,31383.6494921875,28804.87046875,4502.8798828125,446390064.4527134,20624.806666666667,65.26666666666667,13.4933,60.0,1681.2500845873774
2023-11-16,36154.76953125,31579.690546875,28839.300283203123,4508.240234375,448379772.31435424,20624.893333333333,65.86666666666666,13.5669,70.0,1637.71456433394
2023-11-17,36596.68359375,31771.19328125,28881.825859375,4514.02001953125,449792106.1667566,20625.04,66.3,13.627900000000002,63.0,1587.8860055407386
2023-11-18,36585.703125,31964.6729296875,28921.351689453124,4514.02001953125,451204440.0191587,20625.186666666665,66.86666666666666,13.676266666666663,69.0,1532.9308871282046
2023-11-19,37386.546875,32173.045546875,28963.252880859374,4514.02001953125,455872646.1718014,20623.626666666663,67.3,13.614566666666663,66.0,1486.9265133106428
2023-11-20,37476.95703125,32362.9096875,29006.399111328126,4547.3798828125,460540852.32444406,20622.066666666666,67.5,13.673733333333336,69.0,1446.997353035783
2023-11-21,35813.8125,32528.570234375,29037.79625,4538.18994140625,461358505.0708943,20620.506666666664,68.1,13.7203,71.0,1383.1366721655468
2023-11-22,37432.33984375,32728.6174609375,29080.434833984375,4556.6201171875,462176157.81734455,20618.946666666667,68.4,13.6513,62.0,1330.294070452852
2023-11-23,37289.62109375,32918.4219921875,29124.608046875,4556.6201171875,465188412.04865634,20617.386666666665,68.4,13.2285,66.0,1281.8184802210992
2023-11-24,37720.28125,33124.509375,29174.7380859375,4559.33984375,468200666.27996814,20617.533333333333,68.2,13.037666666666668,66.0,1242.5706263907557
2023-11-25,37796.79296875,33321.51328125,29225.428173828124,4559.33984375,470071915.201219,20617.68,68.26666666666667,12.884766666666668,73.0,1209.5526063002294
2023-11-26,37479.12109375,33511.71890625,29274.715,4559.33984375,471943164.1224699,20623.166666666668,68.36666666666666,12.782466666666666,73.0,1174.3451001908577
2023-11-27,37254.16796875,33698.10046875,29325.98189453125,4550.43017578125,470401488.961295,20628.653333333332,68.4,12.751433333333331,66.0,1133.3453365547437
2023-11-28,37831.0859375,33903.0486328125,29381.112373046875,4554.89013671875,468859813.80011994,20634.14,68.26666666666667,12.759199999999998,68.0,1097.4856394450624
2023-11-29,37858.4921875,34112.3980859375,29436.484443359375,4550.580078125,468089653.3092591,20639.626666666667,68.4,12.7182,72.0,1064.6633199737778
2023-11-30,37712.74609375,34329.1866015625,29490.39498046875,4567.7998046875,467319492.81839824,20645.113333333335,68.66666666666667,12.693466666666666,74.0,1030.713493316567
2023-12-01,38688.75,34567.825625,29547.875263671875,4594.6298828125,470928142.37235177,20650.283333333333,68.83333333333333,12.720166666666668,71.0,1011.0590407617378
2023-12-02,39476.33203125,34820.104765625,29610.073671875,4594.6298828125,474536791.9263055,20655.45333333333,68.9,12.6575,74.0,1011.6559738819032
2023-12-03,39978.390625,35082.4384375,29672.971611328125,4594.6298828125,479040547.74440765,20660.736666666668,69.16666666666667,12.641766666666667,73.0,1030.61907402481
2023-12-04,41980.09765625,35378.84734375,29748.7110546875,4569.77978515625,483544303.5625099,20666.02,69.36666666666666,13.002133333333331,74.0,1089.686732054195
2023-12-05,44080.6484375,35690.0709765625,29834.66365234375,4567.18017578125,482213110.892639,20671.303333333333,69.53333333333333,13.311066666666669,75.0,1201.8241701879715
2023-12-06,43746.4453125,35996.684921875,29917.74794921875,4549.33984375,480881918.22276795,20676.586666666662,69.46666666666667,13.583066666666666,72.0,1333.2750724959762
2023-12-07,43292.6640625,36295.9713671875,30000.442138671875,4585.58984375,480065848.1774057,20681.87,69.6,13.7847,72.0,1459.6617880742556
2023-12-08,44166.6015625,36604.907265625,30087.018759765622,4604.3701171875,479249778.13204354,20690.47666666667,69.8,13.947566666666669,72.0,1586.8652669641026
2023-12-09,43725.984375,36885.76796875,30169.52004882813,4604.3701171875,482128162.8580315,20699.083333333332,69.93333333333334,13.904666666666667,73.0,1697.2658838978266
2023-12-10,43779.69921875,37162.9937109375,30256.744453125,4604.3701171875,485006547.5840195,20703.856666666667,70.06666666666666,13.859066666666669,74.0,1788.3359864040692
2023-12-11,41243.83203125,37387.992421875,30330.582578125,4622.43994140625,486067327.99182534,20708.629999999997,70.2,14.010133333333334,74.0,1817.9817923311543
