date,fg_fng_value_z13w,gt_bitcoin_z13w,hr_hash_rate_z13w
2019-10-11 00:00:00+00:00,-0.11534867721792467,-1.1523623720018379,1.7437136490566787
2019-10-18 00:00:00+00:00,0.3250775322986031,-1.486079211305899,1.5566754782810481
2019-10-25 00:00:00+00:00,-0.34156830627000984,-0.744928808942036,1.654889103664098
2019-11-01 00:00:00+00:00,1.50139706495597,0.436511518851409,0.24767253713495324
2019-11-08 00:00:00+00:00,1.8274086655242774,-1.0425608665207189,0.3252250482521498
2019-11-15 00:00:00+00:00,0.28348192098545383,-1.4452368574743606,1.0295387091800776
2019-11-22 00:00:00+00:00,-0.6589795300745992,-0.641616959704456,0.07156111952139149
2019-11-29 00:00:00+00:00,-1.7216644035954312,0.5443158204645113,-0.2887534681566387
2019-12-06 00:00:00+00:00,-1.0847064344448143,-0.8453503647625791,0.5733906489711541
2019-12-13 00:00:00+00:00,-1.0778876570518987,-1.363245633300868,0.017297599159797082
2019-12-20 00:00:00+00:00,-1.3084640203123188,-0.27012863281450267,0.6507875629404506
2019-12-27 00:00:00+00:00,-0.5935979893917465,-1.05407928843914,1.3453424068583588
2020-01-03 00:00:00+00:00,0.37914528461879304,-0.6807578440129812,2.195930156957408
2020-01-10 00:00:00+00:00,0.7308345995238616,1.1812812699401887,2.3260730339183655
2020-01-17 00:00:00+00:00,1.4880197621691378,1.1277838808293525,1.3645096681215625
2020-01-24 00:00:00+00:00,1.0415980406897336,0.4997850716593558,1.642465715842669
2020-01-31 00:00:00+00:00,1.2332519246829345,0.929999718187692,1.287456317348865
2020-02-07 00:00:00+00:00,1.6428723621946189,0.9519066578905546,0.502363218353955
2020-02-14 00:00:00+00:00,1.4779668806101987,2.2508346957640706,0.19852536158940703
2020-02-21 00:00:00+00:00,0.839274902655959,1.0488911000600976,0.48019610381688616
2020-02-28 00:00:00+00:00,0.057129489628919235,0.8333053223460026,0.8258646649821002
2020-03-06 00:00:00+00:00,-0.3291562850157761,0.2861592421458963,2.095773173997209
2020-03-13 00:00:00+00:00,-1.7395217229379973,2.9020160768579144,0.3526900346962465
2020-03-20 00:00:00+00:00,-2.190426134558671,2.535518423346986,-1.65938473409255
2020-03-27 00:00:00+00:00,-1.750014188801309,0.930107464372472,-1.934508943454069
