ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,fg_fng_value,fg_fng_value_lower,fg_fng_value_upper,fg_fng_value_ma30,fg_fng_value_ma30_lower,fg_fng_value_ma30_upper,gt_bitcoin_ma30,gt_bitcoin_ma30_lower,gt_bitcoin_ma30_upper,hr_hash_rate_ma30,hr_hash_rate_ma30_lower,hr_hash_rate_ma30_upper,m2_ma30,m2_ma30_lower,m2_ma30_upper,macd_signal_9,macd_signal_9_lower,macd_signal_9_upper,sma_200,sma_200_lower,sma_200_upper,sma_50,sma_50_lower,sma_50_upper,spx_close,spx_close_lower,spx_close_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-09-09,42710.402680162886,59638.54519803255,64565.9500227466,41410.37466694472,44054.09776958381,19406.67899165741,19406.67899165741,19406.67899165741,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,92.98707490723689,92.98707490723689,92.98707490723689,-660.6936347918961,-660.6936347918961,-660.6936347918961,0.0,0.0,0.0,62117.0816718203
2024-09-10,42741.36330675736,59594.08683199903,64422.30190223135,41389.22574115537,44127.423417925704,19249.854156912166,19249.854156912166,19249.854156912166,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,-74.17008648089839,-74.17008648089839,-74.17008648089839,-650.3613081490025,-650.3613081490025,-650.3613081490025,0.0,0.0,0.0,61991.21746366953
2024-09-11,42772.32393335182,59636.49019812466,64706.46545090085,41357.33511749713,44198.40041320945,19404.235140163913,19404.235140163913,19404.235140163913,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,74.38469266310092,74.38469266310092,74.38469266310092,-644.535104041252,-644.535104041252,-644.535104041252,0.0,0.0,0.0,62176.55907351573
2024-09-12,42803.284559946296,59550.33555526465,64448.89482887116,41344.58632489655,44257.872135380945,19296.263138810646,19296.263138810646,19296.263138810646,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,-35.02812691289302,-35.02812691289302,-35.02812691289302,-643.0942858185288,-643.0942858185288,-643.0942858185288,0.0,0.0,0.0,62099.54769875694
2024-09-13,42834.24518654077,59819.39095082489,64820.29554704476,41323.324116197386,44329.734877757975,19354.13393233831,19354.13393233831,19354.13393233831,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,25.54123167137983,25.54123167137983,25.54123167137983,-645.7928508751367,-645.7928508751367,-645.7928508751367,0.0,0.0,0.0,62188.37911887908
2024-09-14,42865.20581313523,59574.39269881071,64667.896154302376,41316.22901916578,44407.04730819462,19264.50898741489,19264.50898741489,19264.50898741489,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,-57.61211337873642,-57.61211337873642,-57.61211337873642,-652.2644507484378,-652.2644507484378,-652.2644507484378,0.0,0.0,0.0,62129.71480055012
2024-09-15,42896.16643972971,59457.22573065598,64651.88570798773,41293.6499773949,44495.138694277666,19286.25192559387,19286.25192559387,19286.25192559387,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,-26.102672469402712,-26.102672469402712,-26.102672469402712,-662.030953478792,-662.030953478792,-662.030953478792,0.0,0.0,0.0,62182.41836532358
2024-09-16,42927.12706632419,59730.35948830296,64955.56628213697,41288.71172218278,44549.03083217297,19392.858113831368,19392.858113831368,19392.858113831368,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,92.98707490731434,92.98707490731434,92.98707490731434,-674.5145126180155,-674.5145126180155,-674.5145126180155,0.0,0.0,0.0,62319.985180155556
2024-09-17,42958.08769291866,59643.41079732432,64859.896282898495,41258.348144568066,44606.003300377335,19211.16256946402,19211.16256946402,19211.16256946402,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,-74.17008648079748,-74.17008648079748,-74.17008648079748,-689.0528955972486,-689.0528955972486,-689.0528955972486,0.0,0.0,0.0,62169.25026238269
2024-09-18,42989.048319513124,59617.72321863628,64965.13295011461,41205.879640760744,44687.13986435355,19343.852527058363,19343.852527058363,19343.852527058363,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,74.38469266296738,74.38469266296738,74.38469266296738,-704.9177171466695,-704.9177171466695,-704.9177171466695,0.0,0.0,0.0,62332.90084657149
2024-09-19,43020.0089461076,59548.8362772339,64934.19416031094,41193.14483355152,44751.08246147484,19218.02230007887,19218.02230007887,19218.02230007887,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,-35.02812691313371,-35.02812691313371,-35.02812691313371,-721.3351245500647,-721.3351245500647,-721.3351245500647,0.0,0.0,0.0,62238.03124618647
2024-09-20,43050.96957270207,59649.97776731095,65211.69791734302,41143.7121381576,44785.80449078634,19262.41838922586,19262.41838922586,19262.41838922586,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,25.54123167122085,25.54123167122085,25.54123167122085,-737.5083939874262,-737.5083939874262,-737.5083939874262,0.0,0.0,0.0,62313.38796192793
2024-09-21,43081.930199296534,59590.970135087824,65034.03984992607,41140.56910099273,44850.24433020086,19164.13161412991,19164.13161412991,19164.13161412991,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,-57.612113378602274,-57.612113378602274,-57.612113378602274,-752.6418240335535,-752.6418240335535,-752.6418240335535,0.0,0.0,0.0,62246.061813426444
2024-09-22,43112.89082589101,59617.5571766331,64976.44383599101,41115.20144406202,44919.721006560445,19182.31762294069,19182.31762294069,19182.31762294069,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,-26.102672468949063,-26.102672468949063,-26.102672468949063,-765.9652561324299,-765.9652561324299,-765.9652561324299,0.0,0.0,0.0,62295.2084488317
2024-09-23,43143.85145248548,59753.756011237674,64934.87623281585,41060.654377919345,44986.09246438538,19290.61411180476,19290.61411180476,19290.61411180476,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,92.98707490744246,92.98707490744246,92.98707490744246,-776.7585146447525,-776.7585146447525,-776.7585146447525,0.0,0.0,0.0,62434.46556429024
2024-09-24,43174.812079079944,59518.68129606728,65220.722390322706,41052.77425297469,45037.96515494377,19115.840422617737,19115.840422617737,19115.840422617737,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,-74.17008648069657,-74.17008648069657,-74.17008648069657,-784.3750424436316,-784.3750424436316,-784.3750424436316,0.0,0.0,0.0,62290.65250169768
2024-09-25,43205.77270567442,59425.902714243675,65138.83768839536,41047.73124088744,45116.36710705012,19260.506231265463,19260.506231265463,19260.506231265463,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,74.38469266297446,74.38469266297446,74.38469266297446,-788.2640129395794,-788.2640129395794,-788.2640129395794,0.0,0.0,0.0,62466.27893693988
2024-09-26,43236.733332268894,59423.0009186833,65053.25023039648,41042.68822880019,45204.06357070155,19151.367198459557,19151.367198459557,19151.367198459557,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,-35.028126912749734,-35.028126912749734,-35.028126912749734,-787.9902261697572,-787.9902261697572,-787.9902261697572,0.0,0.0,0.0,62388.10053072845
2024-09-27,43267.693958863354,59841.63083396936,65346.2535660593,41037.645216712925,45292.96083237779,19216.675638398254,19216.675638398254,19216.675638398254,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,25.541231671061876,25.541231671061876,25.541231671061876,-783.2511448148753,-783.2511448148753,-783.2511448148753,0.0,0.0,0.0,62484.36959726161
