ds,P_forecast,P_bull_1sigma,P_bear_1sigma,rhat,P_base_prob,P_lo80,P_hi80,P_lo95,P_hi95,prev_price,delta_price,signal,signal_strength,position_long_flat,strat_ret,cum_ret
2026-06-26,168636.18944037752,179431.03012726302,158490.7826076732,0.010290877893567,168636.18944037697,103329.63978228072,275217.87987348984,79732.90003106037,356667.8796066928,166909.673923378,1726.5155169995269,HOLD,normal,1,0.010290877893567,1.4633999803819322
2026-07-03,170380.56405302064,181287.06669161544,160130.21301959266,0.010290877893567,170380.5640530201,103732.14025931268,279850.9365993644,79772.68155089403,363903.23156561784,168636.18944037752,1744.3746126431215,HOLD,normal,1,0.010290877893567,1.4785374059985328
2026-07-10,172142.98249599067,183162.3021187608,161786.60171786355,0.010290877893567,172142.9824959901,104144.7042368059,284538.7736205413,79822.4405463197,371239.04280299554,170380.56405302064,1762.4184429700254,HOLD,normal,1,0.010290877893567,1.4938314133134865
2026-07-17,173923.63141486846,185056.93500194867,163460.1241191879,0.010290877893567,173923.63141486785,104567.12122101152,289282.41699032777,79881.82419605843,378677.25066332915,172142.98249599067,1780.6489188777923,HOLD,normal,1,0.010290877893567,1.5092836220096164
2026-07-24,175722.69938589886,186971.1659886793,165150.95745477997,0.010290877893567,175722.69938589825,104999.19773883966,294082.88581660925,79950.50468521864,386219.7893689546,173923.63141486846,1799.0679710303957,HOLD,normal,1,0.010290877893567,1.5248956685237631
2026-07-31,177540.37693596148,188905.197801953,166859.28078913566,0.010290877893567,177540.37693596084,105440.75588076384,298941.1938416646,80028.17701811864,393868.5925011973,175722.69938589886,1817.6775500626245,HOLD,normal,1,0.010290877893567,1.5406692062200877
2026-08-07,179376.85656274811,190859.23526173897,168585.27503899607,0.010290877893567,179376.85656274745,105891.63200089778,303858.3508662863,80114.55706746104,401625.5952490431,177540.37693596148,1836.4796267866332,HOLD,normal,1,0.010290877893567,1.5566059055651682
2026-08-14,181232.33275514876,192833.4853066664,170329.122992507,0.010290877893567,181232.3327551481,106351.67555425705,308835.36403821135,80209.37982972329,409492.73645550926,179376.85656274811,1855.4761924006452,HOLD,normal,1,0.010290877893567,1.572707454304908
2026-08-21,183107.0020138487,194828.1570159401,172091.0093285769,0.010290877893567,183107.002013848,106820.74805413638,313873.2390219489,80312.39786103893,417471.9604874913,181232.33275514876,1874.669258699927,HOLD,normal,1,0.010290877893567,1.5889755576432725
2026-08-28,185001.06287213843,196843.4616314824,173871.1206364349,0.010290877893567,185001.0628721377,107298.72213497444,318972.9810646528,80423.37987152796,425565.2189511792,183107.0020138487,1894.0608582897403,HOLD,normal,1,0.010290877893567,1.6054119384228758
2026-09-04,186914.71591693905,198879.6125803044,175669.6454353912,0.010290877893567,186914.7159169383,107785.48070812556,324135.5959706358,80542.10945912656,433774.47227204306,185001.06287213843,1913.6530448006233,HOLD,normal,1,0.010290877893567,1.6220183373074353
2026-09-11,188848.163810045,200936.82549710857,177486.77419480175,0.010290877893567,188848.1638100442,108280.9161996828,329362.09099540085,80668.38396657031,442101.6911557893,186914.71591693905,1933.447893105942,HOLD,normal,1,0.010290877893567,1.6387965129661128
2026-09-18,190801.6113095865,203015.3182471252,179322.69935423974,0.010290877893567,190801.6113095857,108784.92986095622,334653.47566860326,80802.0134473852,450548.85794448375,188848.163810045,1953.4474995415076,HOLD,normal,1,0.010290877893567,1.655748242259764
2026-09-25,192775.26529171423,205115.31094918493,181177.6153438753,0.010290877893567,192775.2652917134,109297.4311434482,340010.76255412225,80942.81972860961,459117.9678801737,190801.6113095865,1973.6539821277256,HOLD,normal,1,0.010290877893567,1.6728753204291125
2026-10-02,194769.334772508,207237.02599902992,183051.7186050666,0.010290877893567,194769.3347725071,109818.33713122152,345434.9679543632,81090.63555955933,467811.03028675175,192775.26529171423,1994.0694807937834,HOLD,normal,1,0.010290877893567,1.690179561284872
