ds,y,spx_close,fg_fng_value,btc_eth_ratio,fg_fng_value_ma30,gt_bitcoin_ma30,hr_hash_rate_ma30,fg_fng_value_z91d,m2_ma30,m2_lag30,rsi_14,sma_50,sma_200,macd_12_26,macd_signal_9,sma_ratio_50_200
2019-07-16,9477.6416015625,3004.0400390625,34.0,47.58122722111312,71.66666666666667,14.191066666666666,61340533.37516831,-2.088870935623086,14775.3,14755.9,41.696121479074144,9943.238134765625,8226.35455830892,165.57673586476267,477.8456410047277,1.208705273312416
2019-07-17,9693.802734375,2984.419921875,19.0,45.836839989728624,69.5,14.210666666666668,61705213.144007854,-2.918018820122791,14779.156666666668,14755.9,43.20543865414356,9962.714951171874,8241.482890020941,47.24762943370297,391.7260386905228,1.208849800954517
2019-07-18,10666.482421875,2995.110107421875,40.0,47.07888557835811,68.06666666666666,14.240066666666667,62069892.9128474,-1.5378338401083935,14783.013333333334,14755.9,49.535992750856465,10002.854853515624,8266.227783203125,31.59388716510875,319.69960838544,1.2100870089548346
2019-07-19,10530.732421875,2976.610107421875,42.0,47.578591752659904,66.73333333333333,14.279233333333334,61669074.35666659,-1.3838615992097825,14785.41,14755.9,48.7197955391391,10047.080048828126,8289.101567432133,8.140455049657248,257.3877777182835,1.212083115051103
2019-07-20,10767.1396484375,2976.610107421875,34.0,46.993612291572,65.16666666666667,14.240066666666667,61268255.80048577,-1.8293314328226744,14787.806666666664,14755.9,50.2569319053096,10090.932802734374,8313.881948242188,8.53118636533327,207.61645944769344,1.213745018940028
2019-07-21,10599.10546875,2976.610107421875,42.0,46.97544386809494,63.766666666666666,14.083366666666668,61873245.87809382,-1.3130448780618262,14788.846666666668,14796.6,49.12966180134891,10131.634580078126,8336.50792369276,-4.664342594496702,165.16029903925542,1.2153331674145629
2019-07-22,10343.1064453125,2985.030029296875,42.0,47.5413947230936,62.4,13.701433333333334,62478235.95570185,-1.288507935161783,14789.886666666667,14796.6,47.385825052089345,10163.637548828125,8356.180458218443,-35.371139602546464,125.05401131089504,1.216301825893673
2019-07-23,9900.767578125,3005.469970703125,40.0,46.541797882791485,60.93333333333333,13.5741,62396447.28057834,-1.3761401941044,14790.926666666666,14796.6,44.44996753004261,10197.472998046876,8371.176449673847,-94.31237293603226,81.18073446150959,1.2181648612178255
2019-07-24,9811.92578125,3019.56005859375,20.0,45.20658749211123,58.93333333333333,13.437,62314658.605454825,-2.4511203590095825,14791.966666666667,14796.6,43.862175607423985,10239.55609375,8385.02980863131,-146.50371193165665,35.64384518287634,1.2211711022433922
2019-07-25,9911.841796875,3003.669921875,42.0,45.13219302453955,57.43333333333333,13.192133333333334,62762541.09504271,-1.1674769463910537,14793.006666666664,14796.6,44.7471070861924,10281.30830078125,8399.570875186011,-177.7542958022259,-7.035783014144104,1.2240278049387332
2019-07-26,9870.3037109375,3025.860107421875,24.0,44.94067896348152,55.06666666666667,12.516366666666666,63210423.5846306,-2.1457360032896915,14792.97,14796.6,44.43351808379298,10322.27390625,8413.44571325914,-203.52626100863017,-46.33387861304132,1.2268782919681347
