ds,P_t,y_true,y_hat,dP_hat,signal
2023-07-28,29319.246,-0.008396692114731152,0.008746501989662647,257.56560048651954,1
2023-08-04,29074.092,0.01106948189736201,0.008677083067595959,253.37600395709524,0
2023-08-11,29397.715,-0.12091618793914272,0.008688344620168209,256.53027696120625,0
2023-08-18,26049.557,-7.251825796039668e-05,0.008161998353898525,213.48649438885332,0
2023-08-25,26047.668,-0.00952565173071207,0.008125903084874153,212.52312751114732,0
2023-09-01,25800.725,0.004058653731616957,0.008053772151470184,208.6321707640418,0
2023-09-08,25905.654,0.026776720870406834,0.008037450723350048,209.0544243792392,0
2023-09-15,26608.693,-0.0010951665786187448,0.008117972873151302,216.88780150757157,0
2023-09-22,26579.568,0.0124190791244434,0.008080593310296535,215.6487910450487,0
2023-09-29,26911.72,0.03773359538474175,0.008099350146949291,218.8525285835276,0
2023-10-06,27946.598,-0.03956886620986211,0.008212053216993809,230.44386359446435,0
2023-10-13,26862.375,0.09984619826029295,0.00803346186876297,216.66699303727,0
2023-10-20,29682.95,0.13313125126398617,0.008414444513618946,250.81930846022078,0
2023-10-27,33909.8,0.023966722573009136,0.008907224051654339,303.39136770497134,1
2023-11-03,34732.324,0.07169700663374279,0.008964566513895988,312.76001311367145,1
2023-11-10,37313.97,-0.01941015215180819,0.009223444387316704,345.7554038648741,1
2023-11-17,36596.684,0.03024024564551908,0.009111111983656883,334.96009848900576,1
2023-11-24,37720.28,0.02535097924514318,0.00919711496680975,348.51797501387045,1
2023-12-01,38688.75,0.13241998722250692,0.009260964579880238,359.9593561437796,1
2023-12-08,44166.6,-0.051973057681017565,0.009760787710547447,433.2116103366061,0
2023-12-15,41929.758,0.04814616132121685,0.009492163546383381,399.8990714805768,1
2023-12-22,43997.902,-0.04410841465134574,0.009643787518143654,426.3589714249247,1
2023-12-29,42099.402,0.04784677865675846,0.009442678652703762,399.41392545052804,1
2024-01-05,44162.69,-0.0301007403356941,0.009595317766070366,425.7945942635997,1
2024-01-12,42853.168,-0.02923705329567916,0.009434674866497517,406.2189657834824,1
2024-01-19,41618.406,0.004757325290212222,0.00928504392504692,388.2282970371016,1
2024-01-26,41816.87,0.03221328022854664,0.00926949642598629,389.4234181188149,0
